"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"30       (E11.9) WARNING!!!! DIAGNOSIS INI MASUK PROLANIS!!! Non-insulin-","1066","2035","3101","3.5238636363636","0"
"31       (Z30.9) Contraceptive management, unspecified","24","3012","3036","3.45","0"
"32       (Z23.2) Need for immunization against tuberculosis [BCG]","1569","1453","3022","3.4340909090909","0"
"33       (J03.9) Acute tonsillitis, unspecified","1275","1632","2907","3.3034090909091","0"
"34       (K04.4) Acute apical periodontitis of pulpal origin","875","1703","2578","2.9295454545455","0"
"35       (J45.9) Asthma, unspecified","1088","1334","2422","2.7522727272727","0"
"36       (A18.8) Tuberculosis of other specified organs","1314","1095","2409","2.7375","0"
"37       (I15.8) Other secondary hypertension","825","1550","2375","2.6988636363636","0"
"38       (H81.1) Benign paroxysmal vertigo","602","1712","2314","2.6295454545455","0"
"39       (K00.6) Disturbances in tooth eruption","1012","1269","2281","2.5920454545455","0"
"40       (K04.0) Pulpitis","774","1470","2244","2.55","0"
"41       (Z48.9) Surgical follow-up care, unspecified","1258","964","2222","2.525","0"
"42       (M54.5) Low back pain","731","1489","2220","2.5227272727273","0"
"43       (B01.9) Varicella without complication","1169","1020","2189","2.4875","0"
"44       (K12.1) Other forms of stomatitis","1015","1168","2183","2.4806818181818","0"
"45       (N39.0) Urinary tract infection, site not specified","693","1412","2105","2.3920454545455","0"
"46       (B86) Scabies","1195","823","2018","2.2931818181818","0"
"47       (L08.9) Local infection of skin and subcutaneous tissue, unspecified","982","944","1926","2.1886363636364","0"
"48       (H10.3) Acute conjunctivitis, unspecified","886","985","1871","2.1261363636364","0"
"49       (Z24.4) Need for immunization against measles alone","895","927","1822","2.0704545454545","0"
"50       (H10.9) Conjunctivitis, unspecified","871","936","1807","2.0534090909091","0"
"51       (K04.7) Periapical abscess without sinus","775","1014","1789","2.0329545454545","0"
"52       (R05) Cough","800","969","1769","2.0102272727273","0"
"53       (L50.0) Allergic urticaria","688","980","1668","1.8954545454545","0"
"54       (B34.2) Coronavirus infection, unspecified","669","924","1593","1.8102272727273","0"
"55       (L50.9) Urticaria, unspecified","676","886","1562","1.775","0"
"56       (E78.5) Hyperlipidaemia, unspecified","372","1173","1545","1.7556818181818","0"
"57       (D64.9) Anaemia, unspecified","365","1143","1508","1.7136363636364","0"
"58       (K02.9) Dental caries, unspecified","665","829","1494","1.6977272727273","0"
"59       (H61.2) Impacted cerumen","738","756","1494","1.6977272727273","0"
"60       (M19.9) Arthrosis, unspecified","394","1100","1494","1.6977272727273","0"
"61       (P59.9) Neonatal jaundice, unspecified","818","658","1476","1.6772727272727","0"
"62       (K05.0) Acute gingivitis","641","823","1464","1.6636363636364","0"
"63       (R07.4) Chest pain, unspecified","644","771","1415","1.6079545454545","0"
"64       (A90) Dengue fever [classical dengue]","713","699","1412","1.6045454545455","0"
"65       (H66.9) Otitis media, unspecified","659","715","1374","1.5613636363636","0"
"66       (I11.0) Hypertensive heart disease with (congestive) heart failure","544","818","1362","1.5477272727273","0"
"67       (M79.17) Myalgia, ankle and foot","388","952","1340","1.5227272727273","0"
"68       (I50.0) Congestive heart failure","613","701","1314","1.4931818181818","0"
"69       (N39.9) Disorder of urinary system, unspecified","514","800","1314","1.4931818181818","0"
"70       (A15.0) Tuberculosis of lung, confirmed by sputum microscopy with or without","823","478","1301","1.4784090909091","0"
"71       (E13.8) Other specified diabetes mellitus with unspecified complications","475","808","1283","1.4579545454545","0"
"72       (O13) Gestational [pregnancy-induced] hypertension without significant","20","1202","1222","1.3886363636364","0"
"73       (E78.0) Pure hypercholesterolaemia","329","881","1210","1.375","0"
"74       (B35.4) Tinea corporis","504","678","1182","1.3431818181818","0"
"75       (Z04.9) Examination and observation for unspecified reason","514","637","1151","1.3079545454545","0"
"76       (H00.0) Hordeolum and other deep inflammation of eyelid","471","643","1114","1.2659090909091","0"
"77       (I25.0) Atherosclerotic cardiovascular disease, so described","573","529","1102","1.2522727272727","0"
"78       (I25.9) Chronic ischaemic heart disease, unspecified","571","518","1089","1.2375","0"
"79       (H54.2) Low vision, both eyes","443","636","1079","1.2261363636364","0"
"80       (M51.9) Intervertebral disc disorder, unspecified","264","803","1067","1.2125","0"
"81       (L02.8) Cutaneous abscess, furuncle and carbuncle of other sites","499","563","1062","1.2068181818182","0"
"82       (Z04.8) Examination and observation for other specified reasons","445","608","1053","1.1965909090909","0"
"83       (K59.0) Constipation","492","552","1044","1.1863636363636","0"
"84       (K52.9) Noninfective gastroenteritis and colitis, unspecified","505","527","1032","1.1727272727273","0"
"85       (F20.9) Schizophrenia, unspecified","528","478","1006","1.1431818181818","0"
"86       (I64) Stroke, not specified as haemorrhage or infarction","578","426","1004","1.1409090909091","0"
"87       (H25.9) Senile cataract, unspecified","458","545","1003","1.1397727272727","0"
"88       (Z30.4) Surveillance of contraceptive drugs","12","983","995","1.1306818181818","0"
"89       (A01.0) Typhoid fever","449","498","947","1.0761363636364","0"
"90       (M17.9) Gonarthrosis, unspecified","204","740","944","1.0727272727273","0"
"91       (I99) Other and unspecified disorders of circulatory system","238","702","940","1.0681818181818","0"
"92       (B35.6) Tinea cruris","372","568","940","1.0681818181818","0"
"93       (L08.0) Pyoderma","504","430","934","1.0613636363636","0"
"94       (K05.3) Chronic periodontitis","438","439","877","0.99659090909091","0"
"95       (E11.7) Non-insulin-dependent diabetes mellitus with multiple complications","310","555","865","0.98295454545455","0"
"96       (E14.9) Unspecified diabetes mellitus without complications","314","551","865","0.98295454545455","0"
"97       (L30.3) Infective dermatitis","442","408","850","0.96590909090909","0"
"98       (Z36.8) Other antenatal screening","8","839","847","0.9625","0"
"99       (L29.9) Pruritus, unspecified","299","530","829","0.94204545454545","0"
"100     (K29.7) Gastritis, unspecified","267","556","823","0.93522727272727","0"
"101     (G44.2) Tension-type headache","253","529","782","0.88863636363636","0"
"102     (H52.7) Disorder of refraction, unspecified","280","494","774","0.87954545454545","0"
"103     (K01.1) Impacted teeth","264","498","762","0.86590909090909","0"
"104     (L01.0) Impetigo [any organism] [any site]","388","365","753","0.85568181818182","0"
"105     (H26.9) Cataract, unspecified","344","404","748","0.85","0"
"106     (H60.9) Otitis externa, unspecified","310","428","738","0.83863636363636","0"
"107     (Z00.1) Routine child health examination","389","346","735","0.83522727272727","0"
"108     (R53) Malaise and fatigue","330","404","734","0.83409090909091","0"
"109     (H81.3) Other peripheral vertigo","204","525","729","0.82840909090909","0"
"110     (Z48.8) Other specified surgical follow- up care","398","329","727","0.82613636363636","0"
"111     (N40) Hyperplasia of prostate","710","12","722","0.82045454545455","0"
"112     (Z09.9) Follow-up examination after unspecified treatment for other","373","348","721","0.81931818181818","0"
"113     (A49.9) Bacterial infection, unspecified","358","358","716","0.81363636363636","0"
"114     (M25.5) Pain in joint","218","490","708","0.80454545454545","0"
"115     (N18.9) Chronic renal failure, unspecified","365","333","698","0.79318181818182","0"
"116     (R59.9) Enlarged lymph nodes, unspecified","255","422","677","0.76931818181818","0"
"117     (L74.3) Miliaria, unspecified","270","406","676","0.76818181818182","0"
"118     (J18.0) Bronchopneumonia, unspecified","369","282","651","0.73977272727273","0"
"119     (M13.9) Arthritis, unspecified","162","484","646","0.73409090909091","0"
"120     (R50.0) Fever with chills","295","325","620","0.70454545454545","0"
"121     (Z34.9) Supervision of normal pregnancy, unspecified","6","614","620","0.70454545454545","0"
"122     (J06.0) Acute laryngopharyngitis","248","362","610","0.69318181818182","0"
"123     (K05.1) Chronic gingivitis","220","390","610","0.69318181818182","0"
"124     (Z00.6) Examination for normal comparison and control in clinical","278","329","607","0.68977272727273","0"
"125     (E13.9) Other specified diabetes mellitus without complications","194","396","590","0.67045454545455","0"
"126     (E11.6) Non-insulin-dependent diabetes mellitus with other specified","229","361","590","0.67045454545455","0"
"127     (A30.9) Leprosy, unspecified","389","198","587","0.66704545454545","0"
"128     (A91) Dengue haemorrhagic fever","297","283","580","0.65909090909091","0"
"129     (Z71.0) Person consulting on behalf of another person","73","505","578","0.65681818181818","0"
"130     (B02.9) Zoster without complication","284","290","574","0.65227272727273","0"
"131     (Z03.0) Observation for suspected tuberculosis","289","273","562","0.63863636363636","0"
"132     (Z03.8) Observation for other suspected diseases and conditions","245","313","558","0.63409090909091","0"
"133     (G40.9) Epilepsy, unspecified","286","269","555","0.63068181818182","0"
"134     (Z48.0) Attention to surgical dressings and sutures","324","224","548","0.62272727272727","0"
"135     (K62.9) Disease of anus and rectum, unspecified","288","260","548","0.62272727272727","0"
"136     (Z09.0) Follow-up examination after surgery for other conditions","267","269","536","0.60909090909091","0"
"137     (K59.1) Functional diarrhoea","248","284","532","0.60454545454545","0"
"138     (L03.0) Cellulitis of finger and toe","273","259","532","0.60454545454545","0"
"139     (I50.9) Heart failure, unspecified","268","257","525","0.59659090909091","0"
"140     (D21.9) Other benign neoplasm of connective and other soft tissue,","241","281","522","0.59318181818182","0"
"141     (R06.0) Dyspnoea","294","223","517","0.5875","0"
"142     (H66.0) Acute suppurative otitis media","261","254","515","0.58522727272727","0"
"143     (L20.9) Atopic dermatitis, unspecified","222","281","503","0.57159090909091","0"
"144     (O14.9) Pre-eclampsia, unspecified","1","501","502","0.57045454545455","0"
"145     (R17) Unspecified jaundice","299","199","498","0.56590909090909","0"
"146     (R60.9) Oedema, unspecified","233","258","491","0.55795454545455","0"
"147     (M19.09) Primary arthrosis of other joints, unspecified site","117","371","488","0.55454545454545","0"
"148     (I63.9) Cerebral infarction, unspecified","261","221","482","0.54772727272727","0"
"149     (J30.4) Allergic rhinitis, unspecified","216","263","479","0.54431818181818","0"
"150     (H60.8) Other otitis externa","195","280","475","0.53977272727273","0"
"151     (J44.9) Chronic obstructive pulmonary disease, unspecified","325","129","454","0.51590909090909","0"
"152     (Z27.4) Need for immunization against measles-mumps-rubella [MMR]","240","211","451","0.5125","0"
"153     (I84.2) Internal haemorrhoids without complication","233","216","449","0.51022727272727","0"
"154     (R10.3) Pain localized to other parts of lower abdomen","115","333","448","0.50909090909091","0"
"155     (H91.9) Hearing loss, unspecified","215","226","441","0.50113636363636","0"
"156     (G56.0) Carpal tunnel syndrome","70","369","439","0.49886363636364","0"
"157     (H40.9) Glaucoma, unspecified","157","277","434","0.49318181818182","0"
"158     (R52.0) Acute pain","149","285","434","0.49318181818182","0"
"159     (H60.5) Acute otitis externa, noninfective","181","250","431","0.48977272727273","0"
"160     (I25.1) Atherosclerotic heart disease","198","231","429","0.4875","0"
"161     (R30.0) Dysuria","160","268","428","0.48636363636364","0"
"162     (J46) Status asthmaticus","138","278","416","0.47272727272727","0"
"163     (B35.9) Dermatophytosis, unspecified","162","247","409","0.46477272727273","0"
"164     (R04.0) Epistaxis","235","172","407","0.4625","0"
"165     (Y58.5) Adverse effects in the therapeutic use of diphtheria vaccine","190","217","407","0.4625","0"
"166     (T78.4) Allergy, unspecified","151","252","403","0.45795454545455","0"
"167     (H10.8) Other conjunctivitis","160","235","395","0.44886363636364","0"
"168     (I84.9) Unspecified haemorrhoids without complication","207","187","394","0.44772727272727","0"
"169     (M79.10) Myalgia, multiple sites","124","268","392","0.44545454545455","0"
"170     (T16) Foreign body in ear","186","205","391","0.44431818181818","0"
"171     (H92.0) Otalgia","174","216","390","0.44318181818182","0"
"191     (B34.9) Viral infection, unspecified","163","161","324","0.36818181818182","0"
"192     (R10.0) Acute abdomen","116","205","321","0.36477272727273","0"
"193     (M79.14) Myalgia, hand","89","228","317","0.36022727272727","0"
"194     (H93.1) Tinnitus","146","169","315","0.35795454545455","0"
"195     (Z96.1) Presence of intraocular lens","132","183","315","0.35795454545455","0"
"196     (L99.8) Other specified disorders of skin and subcutaneous tissue in diseases","146","165","311","0.35340909090909","0"
"197     (L28.0) Lichen simplex chronicus","162","148","310","0.35227272727273","0"
"198     (O26.9) Pregnancy-related condition, unspecified","4","305","309","0.35113636363636","0"
"199     (E10.8) Insulin-dependent diabetes mellitus with unspecified complications","144","164","308","0.35","0"
"200     (R52.9) Pain, unspecified","109","196","305","0.34659090909091","0"
"201     (L60.9) Nail disorder, unspecified","163","142","305","0.34659090909091","0"
"202     (Z32.1) Pregnancy confirmed","3","300","303","0.34431818181818","0"
"203     (N89.8) Other specified noninflammatory disorders of vagina","1","297","298","0.33863636363636","0"
"204     (E79.0) Hyperuricaemia without signs of inflammatory arthritis and tophaceous","102","191","293","0.33295454545455","0"
"205     (H04.9) Disorder of lacrimal system, unspecified","96","195","291","0.33068181818182","0"
"206     (N92.1) Excessive and frequent menstruation with irregular cycle","4","284","288","0.32727272727273","0"
"207     (Z23.6) Need for immunization against diphtheria alone","44","241","285","0.32386363636364","0"
"208     (M79.16) Myalgia, lower leg","101","180","281","0.31931818181818","0"
"209     (L03.9) Cellulitis, unspecified","149","131","280","0.31818181818182","0"
"210     (L98.9) Disorder of skin and subcutaneous tissue, unspecified","117","161","278","0.31590909090909","0"
"211     (N89.9) Noninflammatory disorder of vagina, unspecified","6","268","274","0.31136363636364","0"
"212     (F20.0) Paranoid schizophrenia","155","119","274","0.31136363636364","0"
"213     (N94.6) Dysmenorrhoea, unspecified","3","269","272","0.30909090909091","0"
"214     (K40.9) Unilateral or unspecified inguinal hernia, without obstruction or gangrene","235","35","270","0.30681818181818","0"
"215     (R59.0) Localized enlarged lymph nodes","110","158","268","0.30454545454545","0"
"216     (R04.2) Haemoptysis","150","116","266","0.30227272727273","0"
"217     (O10.0) Pre-existing essential hypertension complicating pregnancy,","1","264","265","0.30113636363636","0"
"218     (M79.9) Soft tissue disorder, unspecified","119","146","265","0.30113636363636","0"
"219     (R43.0) Anosmia","99","166","265","0.30113636363636","0"
"220     (B00.9) Herpesviral infection, unspecified","110","153","263","0.29886363636364","0"
"221     (B05.9) Measles without complication","129","132","261","0.29659090909091","0"
"222     (N20.9) Urinary calculus, unspecified","139","121","260","0.29545454545455","0"
"223     (R22.9) Localized swelling, mass and lump, unspecified","93","166","259","0.29431818181818","0"
"224     (L84) Corns and callosities","132","127","259","0.29431818181818","0"
"225     (H25.8) Other senile cataract","120","137","257","0.29204545454545","0"
"226     (N18.0) End-stage renal disease","162","94","256","0.29090909090909","0"
"227     (L02.4) Cutaneous abscess, furuncle and carbuncle of limb","133","121","254","0.28863636363636","0"
"228     (E11.4) Non-insulin-dependent diabetes mellitus with neurological complications","100","147","247","0.28068181818182","0"
"229     (A36.8) Other diphtheria","8","240","248","0.28181818181818","0"
"230     (H52.6) Other disorders of refraction","79","168","247","0.28068181818182","0"
"231     (H52.1) Myopia","91","155","246","0.27954545454545","0"
"232     (O82.8) Other single delivery by caesarean section","0","246","246","0.27954545454545","0"
"233     (M51.1) Lumbar and other intervertebral disc disorders with radiculopathy","73","171","244","0.27727272727273","0"
"234     (B26.9) Mumps without complication","129","115","244","0.27727272727273","0"
"235     (H11.3) Conjunctival haemorrhage","108","134","242","0.275","0"
"236     (W57) Bitten or stung by nonvenomous insect and other nonvenomous","114","126","240","0.27272727272727","0"
"237     (H10.1) Acute atopic conjunctivitis","104","135","239","0.27159090909091","0"
"238     (K08.9) Disorder of teeth and supporting structures, unspecified","87","151","238","0.27045454545455","0"
"239     (O16) Unspecified maternal hypertension","6","228","234","0.26590909090909","0"
"240     (G20) Parkinson`s disease","110","122","232","0.26363636363636","0"
"241     (G62.9) Polyneuropathy, unspecified","85","143","228","0.25909090909091","0"
"242     (K29.9) Gastroduodenitis, unspecified","61","162","223","0.25340909090909","0"
"243     (K80.8) Other cholelithiasis","63","161","224","0.25454545454545","0"
"244     (A15.9) Respiratory tuberculosis unspecified, confirmed bacteriologically","134","89","223","0.25340909090909","0"
"245     (M79.0) Rheumatism, unspecified","55","166","221","0.25113636363636","0"
"246     (N92.6) Irregular menstruation, unspecified","3","218","221","0.25113636363636","0"
"247     (R50.8) Other specified fever","107","110","217","0.24659090909091","0"
"248     (N93.9) Abnormal uterine and vaginal bleeding, unspecified","4","212","216","0.24545454545455","0"
"249     (W18) Other fall on same level causing accidental injury","131","85","216","0.24545454545455","0"
"250     (H81.9) Disorder of vestibular function, unspecified","65","145","210","0.23863636363636","0"
"251     (H66.4) Suppurative otitis media, unspecified","109","101","210","0.23863636363636","0"
"252     (L30.8) Other specified dermatitis","102","107","209","0.2375","0"
"253     (I20.9) Angina pectoris, unspecified","104","105","209","0.2375","0"
"254     (L60.0) Ingrowing nail","98","108","206","0.23409090909091","0"
"255     (R56.0) Febrile convulsions","119","81","200","0.22727272727273","0"
"256     (H11.0) Pterygium","71","126","197","0.22386363636364","0"
"257     (M54.57) Low back pain, lumbosacral region","68","128","196","0.22272727272727","0"
"258     (M19.96) Arthrosis, unspecified, lower leg","51","144","195","0.22159090909091","0"
"259     (E05.9) Thyrotoxicosis, unspecified","36","158","194","0.22045454545455","0"
"260     (H01.0) Blepharitis","76","117","193","0.21931818181818","0"
"261     (I49.9) Cardiac arrhythmia, unspecified","80","112","192","0.21818181818182","0"
"262     (H54.5) Low vision, one eye","102","88","190","0.21590909090909","0"
"263     (G44.8) Other specified headache syndromes","64","125","189","0.21477272727273","0"
"264     (R33) Retention of urine","124","63","187","0.2125","0"
"265     (I12.9) Hypertensive renal disease without renal failure","74","112","186","0.21136363636364","0"
"266     (M54.59) Low back pain, site unspecified","53","133","186","0.21136363636364","0"
"267     (B36.0) Pityriasis versicolor","112","74","186","0.21136363636364","0"
"268     (D21.0) Other benign neoplasm of connective and other soft tissue of head,","78","107","185","0.21022727272727","0"
"269     (M79.2) Neuralgia and neuritis, unspecified","54","130","184","0.20909090909091","0"
"270     (Z30.5) Surveillance of (intrauterine) contraceptive device","0","183","183","0.20795454545455","0"
"271     (H57.9) Disorder of eye and adnexa, unspecified","91","89","180","0.20454545454545","0"
"272     (H66.3) Other chronic suppurative otitis media","91","88","179","0.20340909090909","0"
"273     (J11.8) Influenza with other manifestations, virus not identified","72","106","178","0.20227272727273","0"
"274     (E78.4) Other hyperlipidaemia","49","129","178","0.20227272727273","0"
"275     (R60.0) Localized oedema","84","94","178","0.20227272727273","0"
"276     (T30.2) Burn of second degree, body region unspecified","75","102","177","0.20113636363636","0"
"277     (L23.9) Allergic contact dermatitis, unspecified cause","71","106","177","0.20113636363636","0"
"278     (K62.8) Other specified diseases of anus and rectum","95","81","176","0.2","0"
"279     (I88.9) Nonspecific lymphadenitis, unspecified","68","107","175","0.19886363636364","0"
"280     (N92.0) Excessive and frequent menstruation with regular cycle","1","173","174","0.19772727272727","0"
"281     (G43.9) Migraine, unspecified","40","133","173","0.19659090909091","0"
"282     (O33.9) Maternal care for disproportion, unspecified","5","168","173","0.19659090909091","0"
"283     (R22.1) Localized swelling, mass and lump, neck","85","85","170","0.19318181818182","0"
"284     (M79.19) Myalgia, site unspecified","61","108","169","0.19204545454545","0"
"285     (N61) Inflammatory disorders of breast","2","166","168","0.19090909090909","0"
"286     (G51.0) Bell`s palsy","79","88","167","0.18977272727273","0"
"287     (R10.1) Pain localized to upper abdomen","58","108","166","0.18863636363636","0"
"288     (N20.0) Calculus of kidney","93","72","165","0.1875","0"
"289     (Y58.0) Adverse effects in the therapeutic use of BCG vaccine","84","81","165","0.1875","0"
"290     (M75.0) Adhesive capsulitis of shoulder","70","94","164","0.18636363636364","0"
"291     (H65.9) Nonsuppurative otitis media, unspecified","83","81","164","0.18636363636364","0"
"292     (J21.9) Acute bronchiolitis, unspecified","79","85","164","0.18636363636364","0"
"293     (A68.9) Relapsing fever, unspecified","82","81","163","0.18522727272727","0"
"294     (I69.4) Sequelae of stroke, not specified as haemorrhage or infarction","107","55","162","0.18409090909091","0"
"295     (Y58.4) Adverse effects in the therapeutic use of tetanus vaccine","5","157","162","0.18409090909091","0"
"296     (T14.1) Open wound of unspecified body region","114","47","161","0.18295454545455","0"
"297     (Z34.0) Supervision of normal first pregnancy","2","158","160","0.18181818181818","0"
"298     (Z03.9) Observation for suspected disease or condition, unspecified","70","90","160","0.18181818181818","0"
"299     (Z09.8) Follow-up examination after other treatment for other conditions","82","78","160","0.18181818181818","0"
"300     (O20.9) Haemorrhage in early pregnancy, unspecified","4","155","159","0.18068181818182","0"
"301     (M79.11) Myalgia, shoulder region","55","104","159","0.18068181818182","0"
"302     (B35.0) Tinea barbae and tinea capitis","84","74","158","0.17954545454545","0"
"303     (H00.1) Chalazion","55","103","158","0.17954545454545","0"
"304     (K02.8) Other dental caries","67","90","157","0.17840909090909","0"
"305     (L29.8) Other pruritus","62","95","157","0.17840909090909","0"
"306     (N77.1) Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic","0","156","156","0.17727272727273","0"
"307     (A01.4) Paratyphoid fever, unspecified","67","88","155","0.17613636363636","0"
"308     (M54.56) Low back pain, lumbar region","46","109","155","0.17613636363636","0"
"309     (M79.18) Myalgia, other site","52","103","155","0.17613636363636","0"
"310     (H81.4) Vertigo of central origin","48","106","154","0.175","0"
"311     (K25.9) Gastric ulcer, unspecified as acute or chronic, without haemorrhage","61","93","154","0.175","0"
"312     (Z71.2) Person consulting for explanation of investigation findings","41","112","153","0.17386363636364","0"
"313     (S02.5) Fracture of tooth","81","72","153","0.17386363636364","0"
"314     (N83.2) Other and unspecified ovarian cysts","1","150","151","0.17159090909091","0"
"315     (B37.9) Candidiasis, unspecified","41","110","151","0.17159090909091","0"
"316     (A63.0) Anogenital (venereal) warts","94","57","151","0.17159090909091","0"
"317     (A18.2) Tuberculous peripheral lymphadenopathy","77","73","150","0.17045454545455","0"
"318     (K08.1) Loss of teeth due to accident, extraction or local periodontal disease","57","92","149","0.16931818181818","0"
"319     (A53.9) Syphilis, unspecified","115","34","149","0.16931818181818","0"
"320     (E87.6) Hypokalaemia","66","82","148","0.16818181818182","0"
"321     (S90.9) Superficial injury of ankle and foot, unspecified","91","56","147","0.16704545454545","0"
"322     (K92.1) Melaena","72","74","146","0.16590909090909","0"
"323     (H66.1) Chronic tubotympanic suppurative otitis media","64","82","146","0.16590909090909","0"
"324     (K35.9) Acute appendicitis, unspecified","58","88","146","0.16590909090909","0"
"325     (L02.3) Cutaneous abscess, furuncle and carbuncle of buttock","75","70","145","0.16477272727273","0"
"326     (M19.97) Arthrosis, unspecified, ankle and foot","32","112","144","0.16363636363636","0"
"327     (K62.5) Haemorrhage of anus and rectum","72","71","143","0.1625","0"
"328     (K21.0) Gastro-oesophageal reflux disease with oesophagitis","53","89","142","0.16136363636364","0"
"329     (K12.2) Cellulitis and abscess of mouth","63","78","141","0.16022727272727","0"
"330     (L22) Diaper [napkin] dermatitis","50","91","141","0.16022727272727","0"
"331     (R00.0) Tachycardia, unspecified","44","96","140","0.15909090909091","0"
"332     (B19.9) Unspecified viral hepatitis without hepatic coma","88","51","139","0.15795454545455","0"
"333     (N23) Unspecified renal colic","80","58","138","0.15681818181818","0"
"334     (H58.8) Other specified disorders of eye and adnexa in diseases classified","52","84","136","0.15454545454545","0"
"335     (J06.8) Other acute upper respiratory infections of multiple sites","57","78","135","0.15340909090909","0"
"336     (T30.1) Burn of first degree, body region unspecified","60","75","135","0.15340909090909","0"
"337     (J44.8) Other specified chronic obstructive pulmonary disease","81","54","135","0.15340909090909","0"
"338     (N47) Redundant prepuce, phimosis and paraphimosis","131","4","135","0.15340909090909","0"
"339     (Z34.8) Supervision of other normal pregnancy","2","132","134","0.15227272727273","0"
"340     (H90.2) Conductive hearing loss, unspecified","57","77","134","0.15227272727273","0"
"341     (L08.8) Other specified local infections of skin and subcutaneous tissue","74","58","132","0.15","0"
"342     (E07.9) Disorder of thyroid, unspecified","24","108","132","0.15","0"
"343     (G44.0) Cluster headache syndrome","50","82","132","0.15","0"
"344     (R31) Unspecified haematuria","68","63","131","0.14886363636364","0"
"345     (A54.9) Gonococcal infection, unspecified","125","6","131","0.14886363636364","0"
"346     (E10.9) Insulin-dependent diabetes mellitus without complications","53","77","130","0.14772727272727","0"
"347     (L02.2) Cutaneous abscess, furuncle and carbuncle of trunk","63","65","128","0.14545454545455","0"
"348     (M65.3) Trigger finger","29","96","125","0.14204545454545","0"
"349     (B37.3) Candidiasis of vulva and vagina","0","124","124","0.14090909090909","0"
"350     (J01.9) Acute sinusitis, unspecified","38","84","122","0.13863636363636","0"
"351     (L85.3) Xerosis cutis","44","77","121","0.1375","0"
"352     (Z00.4) General psychiatric examination, not elsewhere classified","51","69","120","0.13636363636364","0"
"353     (N30.0) Acute cystitis","33","86","119","0.13522727272727","0"
"354     (M79.15) Myalgia, pelvic and thigh","38","81","119","0.13522727272727","0"
"355     (J44.1) Chronic obstructive pulmonary disease with acute exacerbation,","88","31","119","0.13522727272727","0"
"356     (L74.0) Miliaria rubra","44","74","118","0.13409090909091","0"
"357     (E11.3) Non-insulin-dependent diabetes mellitus with ophthalmic complications","50","68","118","0.13409090909091","0"
"358     (M89.4) Other hypertrophic osteoarthropathy","25","92","117","0.13295454545455","0"
"359     (L50.8) Other urticaria","42","75","117","0.13295454545455","0"
"360     (K25.3) Gastric ulcer, acute without haemorrhage or perforation","38","78","116","0.13181818181818","0"
"361     (J44.0) Chronic obstructive pulmonary disease with acute lower respiratory","85","31","116","0.13181818181818","0"
"362     (L97) Ulcer of lower limb, not elsewhere classified","59","57","116","0.13181818181818","0"
"363     (R43.8) Other and unspecified disturbances of smell and taste","49","66","115","0.13068181818182","0"
